entry_threshold,stop_loss_pct,take_profit_pct,min_confidence,sharpe,max_dd_pct,total_ret_pct,n_trades
0.1,0.04,0.06,0.4,0.8173365523382903,-80.48210860300591,-68.40907420886606,723
0.1,0.03,0.08,0.45,0.817229021707033,-81.78077586300327,-65.19290054179912,712
0.14,0.02,0.04,0.45,0.816651646259181,-78.90294389581935,-16.76761757252504,876
0.1,0.04,0.1,0.4,0.816326439626397,-78.41391543722729,-62.93252030343699,636
0.1,0.02,0.08,0.45,0.8145253793285976,-79.27444427022458,-61.87448832602826,823
0.1,0.02,0.1,0.4,0.8138435260423088,-79.23923647117252,-63.4828699443009,791
0.12,0.02,0.04,0.4,0.8134940056989503,-82.13987147336121,-46.37517919331192,962
0.12,0.03,0.04,0.4,0.8115568303926233,-81.79900559763753,-51.25831995165123,813
0.12,0.02,0.04,0.5,0.811473451433667,-79.03233819913503,-39.40314792968991,906
0.1,0.02,0.08,0.4,0.811351813896394,-77.0263601795739,-60.23247058351402,830
0.1,0.03,0.08,0.4,0.8112527851548738,-79.6759124494881,-63.46362893969839,724
0.08,0.02,0.04,0.45,0.8106275275714452,-85.48114466332311,-70.28494411568774,1150
0.08,0.02,0.1,0.5,0.8070789445161706,-77.44736565103418,-50.63707013703842,832
0.16,0.02,0.04,0.45,0.8069016440738299,-77.21462968307581,-17.664933500749413,746
0.14,0.02,0.04,0.4,0.8065934363906992,-77.58809223350454,-21.30571919858616,892
0.16,0.02,0.04,0.5,0.8063360473885948,-77.10558437119285,-19.214441173007245,686
0.1,0.04,0.08,0.45,0.8019756530914285,-79.85482286022423,-63.6525820563965,650
0.1,0.04,0.1,0.45,0.8018828624442795,-78.09830572086938,-65.54765574615713,622
0.1,0.04,0.08,0.4,0.8015735493035859,-79.39785533963298,-63.38488584297988,668
0.08,0.02,0.08,0.5,0.8015554418242787,-78.02531556153713,-54.270831499082476,881
0.08,0.02,0.12,0.45,0.7989708643447755,-83.81835411928171,-64.53890628822425,860
0.1,0.05,0.12,0.45,0.7976381110987785,-79.11516953354537,-54.42087673224805,586
0.1,0.05,0.04,0.4,0.7967990842923319,-80.52061110085549,-68.11481658169691,762
0.1,0.03,0.1,0.45,0.7959602102580848,-78.38696021127707,-66.72610119254861,673
0.1,0.03,0.1,0.4,0.7950027450380953,-76.53746327640043,-62.460588876726085,681
0.1,0.02,0.12,0.5,0.7908528667731614,-76.40218430319815,-46.50789874134843,734
0.08,0.04,0.12,0.5,0.7888107675525986,-78.6272956531258,-49.63528931248954,689
0.08,0.05,0.06,0.5,0.7886892107792077,-78.71339870201693,-51.09714673693622,757
0.1,0.05,0.12,0.4,0.7883241550071821,-76.48044900477358,-57.028809433602746,595
0.08,0.02,0.06,0.45,0.7883152251178401,-83.91261242267734,-63.1773009568836,1000
0.1,0.03,0.08,0.5,0.7881893988736759,-76.76000040762165,-61.020801188127095,699
0.08,0.05,0.08,0.5,0.7854347082216524,-79.55863324406927,-55.51407600219882,702
0.08,0.03,0.12,0.45,0.7845069841432099,-82.9964268200684,-63.35492408083354,770
0.12,0.03,0.04,0.45,0.7814433135625062,-80.127923078662,-46.26292011737425,788
0.1,0.05,0.06,0.45,0.7792674186605083,-78.80886368478471,-61.48033339802424,662
0.16,0.04,0.04,0.5,0.7791870206638853,-75.85022810127735,-17.04689152764959,571
0.1,0.03,0.12,0.5,0.7789615312704379,-76.5922389932273,-49.069680397725904,658
0.1,0.05,0.08,0.45,0.7788938434776985,-80.06174763329757,-61.98872814071543,612
0.08,0.03,0.1,0.5,0.778450444506236,-77.54063773799687,-59.39373383977451,757
0.12,0.04,0.04,0.4,0.7775620805960519,-82.61381161201801,-49.68105273018497,755
0.08,0.04,0.06,0.5,0.7774872701124895,-80.20548967167845,-57.325160930554844,798
0.08,0.02,0.1,0.45,0.7774783153249537,-83.7703736948076,-64.03838318839759,864
0.08,0.03,0.12,0.5,0.7774694357746219,-77.47198793399525,-48.31321627346298,734
0.1,0.04,0.08,0.5,0.7756063364075345,-78.04845630454462,-58.65109547994163,625
0.12,0.02,0.06,0.45,0.77375977422395,-81.40261425234704,-41.654412082861015,803
0.1,0.04,0.06,0.5,0.7729207151734389,-78.60173214619341,-59.603972161040645,683
0.1,0.02,0.08,0.5,0.7728334655176381,-76.55417999022396,-51.20278413756789,792
0.16,0.03,0.04,0.5,0.7714579059674433,-74.5001770389159,-18.73908797810132,622
0.12,0.03,0.04,0.5,0.771161721046375,-80.5459086373118,-43.4152399183189,779
0.1,0.05,0.06,0.4,0.7706664480819254,-80.1664689504351,-66.21673639412045,677
0.14,0.02,0.06,0.4,0.7695938615389037,-77.00380243889991,-6.187958718116626,759
0.12,0.05,0.04,0.5,0.7672410803481845,-81.19810501648736,-39.43145850732536,658
0.16,0.05,0.04,0.45,0.7669440027249821,-77.84505063643493,-13.555904723485135,567
0.08,0.05,0.12,0.5,0.7662422996760851,-78.47017725823687,-47.772308678325295,655
0.1,0.05,0.1,0.45,0.764825288183266,-79.45839258849439,-60.667515057423806,594
0.08,0.05,0.1,0.5,0.7637925998515405,-78.89030177201191,-54.71245733106217,674
0.08,0.03,0.08,0.45,0.7634775926666933,-82.49173170794892,-62.63934692743523,819
0.16,0.03,0.04,0.45,0.7628341410636363,-74.57595819531623,-11.71088963767204,660
0.1,0.05,0.08,0.4,0.7621418996387725,-78.5481359674132,-61.578609554303256,626
0.1,0.05,0.1,0.5,0.7615646030413572,-78.57671147489317,-55.2528189303886,569
0.1,0.04,0.12,0.5,0.7605102689783394,-78.00899237244455,-48.76745386914385,582
0.08,0.04,0.08,0.5,0.7604852115548424,-80.49362569221337,-61.93557823146894,737
0.12,0.02,0.06,0.4,0.7600409914469025,-83.61666772432679,-46.65331558274022,818
0.08,0.03,0.04,0.45,0.757678936182825,-84.8580179201041,-75.48019607573167,1020
0.16,0.02,0.06,0.5,0.7576059557830176,-72.82890363239957,-16.028090000048845,575
0.12,0.04,0.04,0.5,0.7572003921444644,-81.62297970586407,-43.92048495410089,711
0.08,0.03,0.08,0.5,0.7570188182328639,-78.20896921005424,-63.448538819280365,809
0.1,0.05,0.12,0.5,0.7556994859934502,-78.56925567445523,-46.38691948232883,549
0.08,0.02,0.08,0.45,0.754645247105442,-80.78130884765382,-62.612909771352456,912
0.14,0.04,0.04,0.5,0.7515969583425813,-79.41250820625409,-14.93145201416316,645
0.1,0.05,0.06,0.5,0.7514885346631981,-78.28538501360896,-56.23217427836098,651
0.16,0.02,0.08,0.5,0.7505359099660489,-70.14976950684635,-10.92297518336498,526
0.12,0.04,0.04,0.45,0.7500822597718206,-81.25061720710359,-44.76229828569308,729
0.1,0.02,0.1,0.5,0.7467164174904612,-76.10902480479406,-52.13927833593408,751
0.16,0.02,0.04,0.4,0.7462221580069305,-75.94907510389798,-19.694190878779672,769
0.08,0.04,0.1,0.5,0.7456578094571884,-78.85250883562453,-58.30363244978073,707
0.16,0.05,0.06,0.5,0.7448452189596992,-73.98864873299217,-10.447795485046607,464
0.14,0.03,0.04,0.5,0.7434210326390346,-77.13348624151118,-18.16805233069454,709
0.1,0.05,0.1,0.4,0.7425052394115724,-77.15007437092116,-64.82963354568578,605
0.16,0.04,0.04,0.45,0.7418333093258791,-76.60084065059051,-9.232663215773284,605
0.16,0.05,0.04,0.4,0.7407164345022214,-76.94460632286109,-15.901493721601067,579
0.1,0.05,0.08,0.5,0.7405874347537412,-77.87569729402722,-50.86883087619929,585
0.12,0.05,0.04,0.4,0.7405697558376243,-81.42573125219569,-49.393780919191144,689
0.12,0.02,0.06,0.5,0.737967111082844,-77.05513650099813,-39.984989581889785,770
0.08,0.04,0.04,0.45,0.7377585084174041,-82.49109567503967,-68.89015019512948,928
0.16,0.02,0.06,0.45,0.737434593317063,-72.73406158818494,-12.545971534278898,624
0.12,0.05,0.04,0.45,0.737108479823597,-80.64482424957994,-44.67796038044898,669
0.14,0.02,0.06,0.5,0.7367082584052792,-73.67102359448222,-10.080033175990144,689
0.08,0.03,0.06,0.45,0.7357643633695737,-79.86061293231512,-59.35497340813216,879
0.1,0.03,0.1,0.5,0.7351138089939601,-76.50128455074532,-58.120500821190916,663
0.14,0.02,0.06,0.45,0.7325971650414955,-77.71542131302829,-10.289276873274734,754
0.08,0.03,0.1,0.45,0.7303063482534679,-82.98626436253977,-61.9506223695133,780
0.16,0.04,0.06,0.5,0.7296944790476442,-72.08253812057627,-12.90989316713478,482
0.14,0.05,0.04,0.4,0.7292899350004759,-78.01154033662648,-20.442477224050304,641
0.08,0.04,0.08,0.45,0.7289341119275767,-80.94952251525484,-61.28804572654947,777
0.14,0.04,0.06,0.4,0.7281833863334684,-76.6382792892645,-12.138256596765274,580
0.14,0.02,0.08,0.4,0.7261653139772862,-72.23939109339716,-4.767579069040073,671
0.14,0.05,0.04,0.5,0.7246943604802015,-77.29239878299013,-11.28915481019529,597
0.16,0.02,0.06,0.4,0.7240072358906988,-72.09810209710177,-11.77106840910589,644
0.14,0.03,0.04,0.4,0.7238870955106118,-76.2860961159226,-19.666509789827614,749
0.14,0.03,0.04,0.45,0.7227154714959017,-78.80866805162722,-14.761040881270937,736
0.14,0.03,0.06,0.4,0.7200959106283846,-75.2901565198752,-4.095415369676891,635
0.16,0.05,0.06,0.4,0.7168162692400039,-74.36256954637925,-11.957025664138376,497
